nwsli,date,time,high_F,low_F,precip,snow_inch,snowd_inch
MOOM5,2023-09-01,,,,,,
TWRM5,2023-09-01,,,,,,
HKHM5,2023-09-01,7:00 AM,,,,,
BABM5,2023-09-01,,,,,,
NHPM5,2023-09-01,11:00 PM,90.0,63.0,0.00,0.00,0.00
LMBM5,2023-09-01,7:00 AM,81.0,62.0,0.00,0.00,0.00
LCHM5,2023-09-01,8:00 AM,78.0,62.0,0.00,0.00,0.00
PKGM5,2023-09-01,8:00 AM,80.0,61.0,0.00,0.00,0.00
PELM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
CLDM5,2023-09-01,6:00 AM,79.0,45.0,0.00,0.00,0.00
SBNM5,2023-09-01,6:00 AM,84.0,55.0,0.00,0.00,0.00
ELYM5,2023-09-01,8:00 AM,77.0,57.0,0.00,0.00,0.00
WDOM5,2023-09-01,8:00 AM,78.0,59.0,0.00,0.00,0.00
ARTM5,2023-09-01,6:00 PM,88.0,60.0,0.00,0.00,0.00
BRMM5,2023-09-01,7:00 AM,75.0,39.0,0.00,0.00,0.00
LAMM5,2023-09-01,8:00 AM,81.0,62.0,0.00,0.00,0.00
RHSM5,2023-09-01,7:00 AM,89.0,62.0,0.00,0.00,0.00
MRRM5,2023-09-01,8:00 AM,85.0,61.0,0.00,0.00,0.00
GMRM5,2023-09-01,8:00 AM,69.0,52.0,0.00,0.00,0.00
OSGM5,2023-09-01,7:00 AM,79.0,61.0,0.00,0.00,0.00
WNNM5,2023-09-01,8:00 AM,79.0,59.0,0.00,0.00,0.00
THFM5,2023-09-01,,,,,,
AXNM5,2023-09-01,,,,,,
TWOM5,2023-09-01,7:00 PM,79.0,49.0,T,0.00,0.00
ORVM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
NUMM5,2023-09-01,,,,,,
PRLM5,2023-09-01,7:00 AM,79.0,62.0,0.00,0.00,0.00
PIPM5,2023-09-01,8:00 AM,84.0,62.0,0.00,0.00,0.00
LUVM5,2023-09-01,6:00 AM,,,0.00,,
AGAM5,2023-09-01,8:00 AM,88.0,62.0,0.00,0.00,0.00
CSLM5,2023-09-01,8:00 AM,79.0,62.0,0.00,0.00,0.00
WASM5,2023-09-01,8:00 AM,79.0,58.0,0.00,0.00,0.00
TOWM5,2023-09-01,7:00 AM,77.0,48.0,0.00,0.00,0.00
GLDM5,2023-09-01,9:00 AM,80.0,62.0,0.00,0.00,0.00
WLDM5,2023-09-01,8:00 AM,79.0,60.0,T,0.00,0.00
INDM5,2023-09-01,8:00 AM,79.0,60.0,0.00,0.00,0.00
THLM5,2023-09-01,7:00 AM,83.0,51.0,0.00,0.00,0.00
ONMM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
WELM5,2023-09-01,8:00 AM,80.0,58.0,0.00,0.00,0.00
NYMM5,2023-09-01,7:00 AM,78.0,57.0,0.00,0.00,0.00
LCRM5,2023-09-01,12:00 AM,77.0,,0.00,0.00,0.00
WTSM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
DWSM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
RWGM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
DAWM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
WRNM5,2023-09-01,7:00 AM,88.0,60.0,0.00,0.00,0.00
KLLM5,2023-09-01,,,,,,
ATKM5,2023-09-01,,,,,,
HLSM5,2023-09-01,,,,,,
EMBM5,2023-09-01,6:00 AM,78.0,49.0,0.00,0.00,0.00
MLCM5,2023-09-01,7:00 AM,79.0,56.0,0.00,0.00,0.00
ALBM5,2023-09-01,8:00 AM,81.0,56.0,0.00,0.00,0.00
LAKM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
TOGM5,2023-09-01,9:00 AM,79.0,60.0,0.00,0.00,0.00
SPGM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
MNNM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
RDWM5,2023-09-01,9:00 AM,79.0,55.0,0.00,0.00,0.00
FBTM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
KABM5,2023-09-01,7:00 AM,78.0,51.0,0.00,0.00,0.00
EGNM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
ALTM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
NISM5,2023-09-01,,,,,,
RUDM5,2023-09-01,7:00 AM,80.0,45.0,0.00,0.00,0.00
CRLM5,2023-09-01,8:00 AM,79.0,62.0,0.00,0.00,0.00
BWNM5,2023-09-01,8:00 AM,79.0,55.0,0.00,0.00,0.00
WRUM5,2023-09-01,10:00 PM,82.0,64.0,0.00,0.00,0.00
BTHM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
COKM5,2023-09-01,6:00 AM,79.0,53.0,0.00,0.00,0.00
GMDM5,2023-09-01,5:00 AM,78.0,47.0,0.00,0.00,0.00
WMRM5,2023-09-01,,,,,,
JORM5,2023-09-01,5:00 AM,79.0,57.0,0.00,0.00,0.00
NOHM5,2023-09-01,7:00 AM,79.0,62.0,0.00,0.00,0.00
BRUM5,2023-09-01,8:00 AM,79.0,55.0,0.00,0.00,0.00
WSBM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
GNFM5,2023-09-01,7:00 AM,77.0,48.0,0.00,0.00,0.00
BKEM5,2023-09-01,,,,,,
WRSM5,2023-09-01,8:00 AM,,,0.00,0.00,0.00
MIAM5,2023-09-01,6:00 PM,88.0,63.0,0.00,0.00,0.00
RSMM5,2023-09-01,8:00 AM,82.0,57.0,0.00,0.00,0.00
AITM5,2023-09-01,,,,,,
SHRM5,2023-09-01,8:00 AM,78.0,56.0,0.00,0.00,0.00
MADM5,2023-09-01,8:00 AM,84.0,57.0,0.00,0.00,0.00
