Station,Date,Max Temp (F),Min Temp (F),Latitude,Longitude,GDD,Cumulative_GDD
Twin Lakes I-35 Mile Post 1,01-09-2023,85.460014,55.21998,43.5083313,-93.35405731,20.34,20.339997
Silver Lake TH 7 Mile Post 1,01-09-2023,85.81998,60.44002,44.9068,-94.1191,23.13,43.469997
Little Chicago I-35 Mile Post 70,01-09-2023,86.18,58.819977,44.47850037,-93.29242706,22.41,65.8799855
Rush City I-35 Mile Post 157,01-09-2023,85.09999,60.61998,45.64292145,-92.99275208,22.86,88.7399705
Rutledge I-35 Mile Post 198,01-09-2023,85.64002,59.71998,46.21257019,-92.83856201,22.68,111.4199705
Beaver Creek I-90 Mile Post 4,01-09-2023,90.68,60.44002,43.6083,-96.3779,23.22,134.6399805
I-90 Mile Post 35,01-09-2023,84.74002,58.99999,43.63734055,-95.76991272,21.87,156.5099855
I-90 Mile Post 67,01-09-2023,86.89999,60.44002,43.63869095,-95.1185379,23.22,179.7299955
Blue Earth I-90 Mile Post 119,01-09-2023,87.440025,59.89999,43.66305161,-94.12243652,22.95,202.6799905
Dexter I-90 Mile Post 195,01-09-2023,85.64002,58.09999,43.72716141,-92.6813736,21.87,224.5499955
Jct CR 7 I-90 Mile Post 226,01-09-2023,85.28,56.299988,43.95563889,-92.20514679,20.79,245.3399895
Ridgeway I-90 Mile Post 261,01-09-2023,80.960014,54.319977,43.91191864,-91.5435791,17.64,262.979985
Dilworth I-94 Mile Post 5,01-09-2023,89.59999,58.640022,46.84679031,-96.6681366,22.32,285.299996
Rothsay I-94 Mile Post 38,01-09-2023,86.71998,61.16001,46.49066162,-96.29125214,23.58,308.880001
Alexandria I-94 Mile Post 104,01-09-2023,85.460014,61.69999,45.8376503,-95.36621857,23.58,332.460003
Sauk Center I-94 Mile Post 128,01-09-2023,88.88,60.61998,45.71310043,-94.93144989,23.31,355.769993
Clearwater I-94 Mile Post 180,01-09-2023,87.98,63.49999,45.39469147,-94.02561188,24.75,380.519988
Shooks MN-1 Mile Post 34,01-09-2023,87.08,59.71998,47.87430954,-94.43242645,22.86,403.379978
Ely MN-1 Mile Post 275,01-09-2023,82.76001,60.26001,47.85440063,-92.04811096,21.51,424.889988
